Date,BTC,ETH,BNB,XRP,SOL,CHZ,STETH
2023-05-08,-1,-1,-1,-1,-1,-1,-1
2023-05-09,-1,-1,-1,1,-1,-1,-1
2023-05-10,-1,-1,-1,1,-1,-1,-1
2023-05-11,-1,-1,-1,1,-1,-1,-1
2023-05-12,-1,-1,-1,1,-1,-1,-1
2023-05-13,-1,-1,-1,1,-1,-1,-1
2023-05-14,1,-1,-1,1,-1,-1,-1
2022-10-20,-1,1,-1,1,-1,-1,-1
2022-10-21,-1,-1,-1,1,-1,-1,1
2022-10-22,-1,1,-1,-1,-1,-1,1
2022-10-23,-1,1,-1,1,-1,-1,1
2022-10-24,-1,-1,-1,1,-1,-1,1
2022-10-25,1,1,-1,1,-1,-1,1
2022-10-26,-1,1,-1,1,-1,-1,-1
2022-10-27,-1,1,-1,1,-1,-1,1
2022-10-28,-1,1,-1,1,-1,-1,1
2022-10-29,-1,-1,-1,1,-1,-1,-1
2022-10-30,-1,1,-1,1,-1,-1,-1
2022-10-31,-1,1,-1,1,-1,-1,-1
2022-11-01,-1,-1,1,1,-1,-1,-1
2022-11-02,-1,-1,1,1,1,-1,-1
2022-11-03,1,-1,-1,1,1,-1,-1
2022-11-04,-1,-1,1,1,1,-1,-1
2022-11-05,-1,-1,1,1,1,-1,-1
2022-11-06,-1,-1,1,1,1,-1,-1
2022-11-07,-1,-1,-1,1,-1,-1,-1
2022-11-08,-1,-1,-1,1,-1,-1,-1
2022-11-09,-1,-1,-1,1,-1,-1,-1
2022-11-10,-1,-1,-1,1,-1,-1,-1
2022-11-11,-1,1,1,1,-1,-1,-1
